no,kategori,subkategori,location/city,nama,deskripsi,address,contact,url,lat,lng
15,Media Partner,Bank & Finance,-,Restock.id,"Restock.id adalah platform pinjaman peer-to-peer berbasis inventaris di Indonesia, yang berfokus pada UKM",,,,,
16,Media Partner,Bank & Finance,-,Top Remit,Topremit merupakan fintech asal Medan yang fokus pada transaksi lintas negara sebagai salah satu first mover di tahun 2018.,,,,,
17,Media Partner,Bank & Finance,-,Turnkey.ID,"Turnkey.id adalah startup B2B yang mengembangkan perangkat lunak tangguh yang membantu broker derivatif terhubung dengan likuiditas pasar keuangan internasional. Dengan perangkat lunak yang bertindak sebagai pusat likuiditas keuangan, kami juga mengembangkan manajemen analitik data untuk mempelajari pola perdagangan yang dilakukan oleh pialang dan pedagang, yang pada gilirannya menjadi intelijen data besar yang berharga yang berguna untuk penelitian lebih lanjut dan pemanfaatan komersial.",,,,,
18,Media Partner,Bank & Finance,-,Bebas Akuntansi,"Bebas Akuntansi membangun One Stop Online Financial Solution untuk Usaha Kecil dan Menengah (UKM) untuk membantu mereka mendapatkan akses keuangan yang lebih baik dengan perangkat lunak terintegrasi (cloud akuntansi, manajemen arus kas, inventaris, modul aplikasi pinjaman)",,,,,
19,Media Partner,Distribution & Retail,-,Toko Wahab,"Distributor dan Supplier Toko Bahan Kue Online, Tersedia Banyak Produk di Tokowahab.com Aman, Terpercaya, dan Kualitas Terbaik.",,,,,
20,Media Partner,Distribution & Retail,-,Biteship,Biteship adalah SaaS yang membantu bisnis mengelola kurir dan pengiriman mereka dalam satu platform,,,,,
21,Media Partner,Distribution & Retail,-,Crewdible,Crewdible adalah e-commerce yang mampu memaksimalkan gudang yang kurang dimanfaatkan untuk pemenuhan e-commerce UMKM,,,,,
22,Media Partner,Distribution & Retail,-,KiriminAja,Kami Adalah Platform Logistik Agregator,,,,,
23,Media Partner,Distribution & Retail,-,PT.Resik Bumi Perkasa,"Izinkan terlebih dahulu kami perkenalkan diri. Kami Epy Pendiri dari PT.Resik Bumi Perkasa (www.resikbumi.com) Jakarta. Kami adalah partner PT.Unilever Indonesia selama 13thn dalam bidang Copackaging product-product Unilever baik Beauty Care, Skin Care Maupun Home Care. Saat ini kami memiliki 3 pabrik yang tersebar di Cikarang, Cianjur dan Karang Anyar dengan 2200 pekerja. Di tahun 2021 ini kami kembali mendapat tawaran bisnis yang lebih besar dari Unilever Indonesia untuk bekerja sama dengan mereka guna membangun Pabrik Mixing dan Filling produk unilever ( Molto-Rinso Matic-Sunlight ) di medan utk produksi dan distribusi di wilayah barat indonesia. Revenue streamnya sendiri di pabrik ini meliputi - Pencampuran - Pengisian - Bahan baku kimia - Bahan pengemas - Copackaging - Manajemen DC - Truk / transportasi logistik Kami sangat berharap dpt bekerja sama dengan investor terkait proyek ini. Beberapa data pendukung kami sampaikan melalui lampiran agar dapat jadi pertimbangan berupa 1. Ringkasan Eksekutif Proyek Toba 2. RAB 3. Data Lampiran 4. Profil PT. Resik Bumi Perkasa",,,,,
24,Media Partner,Distribution & Retail,-,Transporta,"Memberdayakan perusahaan angkutan truk untuk memaksimalkan kecepatan operasional sehari-hari, utilitas truk, serta profitabilitas melalui platform angkutan truk terintegrasi terpusat yang mengakomodasi semua kebutuhan perusahaan angkutan truk (trucking super app). Kami ingin berkontribusi terhadap pertumbuhan perekonomian Indonesia melalui inovasi transportasi darat.",,,,,
25,Media Partner,Distribution & Retail,-,Monoliving.id,Furnitur yang tumbuh bersama penggunanya,,,,,
26,Media Partner,Distribution & Retail,-,Pramitss beauty,"Pramitss Beauty merupakan brand produk perawatan kulit alami organik yang mengusung konsep zero waste dan praktis, dengan memanfaatkan komoditas sarang burung walet sebagai bahan bakunya.",,,,,
27,Media Partner,E-commerce,-,Aruna,Aruna adalah platform e-commerce perikanan yang fokus membantu mengembangkan perekonomian pesisir dengan menciptakan perdagangan kelautan-perikanan yang adil dan transparan melalui Inovasi Teknologi.,,,,,
28,Media Partner,E-commerce,-,Belanjaparts,Belanjaparts membantu bengkel kecil-menengah di Indonesia untuk bersaing dalam industri yang terus berkembang ini dengan mendigitalkan alur kerja mereka.,,,,,
29,Media Partner,E-commerce,-,CariKado,CariKado adalah pasar hadiah dengan layanan sistem rekomendasi pemilihan hadiah berbasis Kecerdasan Buatan,,,,,
30,Media Partner,E-commerce,-,Diamond Weddings,"Diamond Weddings adalah perusahaan yang bergerak di industri pernikahan. kami sebagai perusahaan, memenuhi semua kebutuhan masyarakat dalam hal pernikahan. Kami menyediakan semua layanan pernikahan di perusahaan yang dapat mempermudah perencanaan pernikahan Anda. Hanya 1 perhentian untuk memenuhi semua kebutuhan Anda dalam kategori pernikahan. itu sebabnya kami memiliki tagline yang disebut, Diamond Weddings, One Stop Wedding Solution.",,,,,
31,Media Partner,E-commerce,-,Fits.id,"Dengan maraknya wisata kesehatan di Indonesia, Fits menjadi e-commerce kesehatan pertama di Indonesia yang menyediakan produk dan layanan terkait kesehatan secara lengkap. Memiliki jaringan besar dalam layanan asuransi karena latar belakang pendirinya, Fits telah menunjukkan daya tarik awal yang menjanjikan dengan pendapatan US$ 320.000 pada tahun 2020 dan keterlibatan komunitas yang kuat di pasar dengan pertumbuhan pesat dalam akuisisi pedagang.",,,,,
32,Media Partner,E-commerce,-,Friendchiseku,Friendchiseku menjawab kebutuhan para pencari bisnis/franchisee yang kebingungan untuk memilih bisnis sesuai kebutuhan dan keinginan mereka. dengan friendschiseku yang memiliki lebih dari 500 franchise dan business opportunity yang menjadi membernya friendschiseku para franchisee akan dibantu dengan melakukan seleksi oleh Advisor friendschiseku seusai dengan kebutuhan dan keinginan. Friendchiseku juga membantu franchisee untuk melakukan pembelian ulang bahan baku sehingga dapat mengatur waktu manajemen untuk mengurusi kebutuhan stok bisnis mereka nanti. Friendchiseku juga memberikan pelatihan dan workshop baik untuk friendschisor dan friendschisee,,,,,
33,Media Partner,E-commerce,-,Gila Diskon,Giladiskon adalah platform rujukan dan cara bagi pelanggan untuk menemukan diskon/penawaran menarik secara online,,,,,
34,Media Partner,E-commerce,-,MEYER FOOD,"Aplikasi perdagangan sosial yang mengkhususkan diri pada produk ayam, di mana kami memotong lapisan perantara dan memberdayakan perempuan untuk menjadi wirausaha.",,,,,
35,Media Partner,E-commerce,-,Pasarternate,Pasarternate adalah platform toko online marketplace yang menjual produk lokal UKM UMKM Indonesia,,,,,
36,Media Partner,E-commerce,-,Proyekin,"Proyekin adalah pasar kebutuhan beton, kami membantu pelaku konstruksi untuk memenuhi kebutuhan betonnya. - mengganggu industri senilai $1,227 Miliar dolar dengan menjadi platform pemesanan kebutuhan beton. Kesuksesan kami terlihat dari jumlah kami - kami telah mengembangkan GMV 8x kali lipat pada tahun 2020, dan saat ini memiliki +1000 armada yang tersebar di 6 wilayah.",,,,,
37,Media Partner,E-commerce,-,Riseloka,Riseloka merupakan one stop reselling platform yang berfokus pada produk lokal yang menghubungkan brand-to-reseller dengan konsumen,,,,,
38,Media Partner,E-commerce,-,STEVOR,"STEVOR merupakan platform grosir yang merangkul seluruh produsen di seluruh Indonesia dengan memberikan keamanan dan kenyamanan dalam bertransaksi, melalui platform online.",,,,,
39,Media Partner,E-commerce,-,Yo-Kulak,"Yo-Kulak adalah perdagangan cepat FMCG. Target pasar Yo-Kulak adalah warung (toko kelontong kecil) sebagai kelompok masyarakat yang kurang terlayani karena mereka terlalu kecil untuk dilayani oleh prinsipal atau bahkan distributor - namun mereka adalah bagian terbesar dari usaha mikro informal di Indonesia. Yo-Kulak mengubah rantai pasokan tradisional warung agar mereka dapat memanfaatkan dunia digital. Yo-kulak berada di taman bermain yang sama dengan Mitra Bukalapak & Mitra Tokopedia, namun sangat mampu memenangkan wilayahnya melalui penyampaian nilainya: - Mudah (mudah digunakan) - Murah (bernilai sepadan dengan uang yang dikeluarkan) - Cepat (pengiriman cepat) - Lengkap (berbagai macam barang dagangan)",,,,,
40,Media Partner,E-commerce,-,MP Store,"Perusahaan Start Up B2B2C Membantu UKM & Perdagangan Tradisional di Indonesia Meningkatkan Skala Bisnis dengan menyediakan akses Teknologi seperti Berbagai Produk Digital, Pembayaran Digital (QRIS), Rantai Pasokan Barang Konsumsi, Pendanaan Modal (KUR), SaaS (Kasir) dan Sosial Perdagangan. Punya 600M GMV saat ini dan 500K UMKM, belum ada pendanaan.",,,,,
41,Media Partner,E-commerce,-,Senjani Kitchen,"Platform semua tentang pangan berbasis cloud kitchen dengan memberdayakan UMKM yang memproduksi katering harian, katering acara, katering sehat, dsb. Semua produk diantarkan tanpa ongkos kirim, karena pemesanan dilakukan dengan metode pre-order atau membuat jadwal.",,,,,
42,Media Partner,E-commerce,-,citrust,citrust merupakan ekosistem gaya hidup sehat yang membantu penggunanya untuk memiliki pola hidup sehat dengan mudah,,,,,
43,Media Partner,E-commerce,-,Merkha,Merkha merupakan ekosistem e-commerce merek lokal Indonesia yang akan membantu merek lokal Indonesia dari seluruh wilayah untuk memperluas pasarnya.,,,,,
44,Media Partner,E-commerce,-,keyta,"Keyta membantu penjual perdagangan sosial dengan membangun alat Perdagangan Percakapan dalam bentuk keyboard tertanam, yang memungkinkan penjual mengakses informasi yang tersebar dan menyelesaikan transaksi penjualan di dalam keyboard itu sendiri tanpa harus berpindah-pindah aplikasi.",,,,,
45,Media Partner,E-commerce,-,Ayo Kenalin,AyoKenalin menyediakan pasar rujukan digital untuk rujukan pinjaman dan rujukan investasi,,,,,
46,Media Partner,E-commerce,-,Cintapedia.com,"Didirikan pada tahun 2019, cintapedia diciptakan untuk menjadi solusi bagi kaum milenial dalam mencari jodoh atau sekedar sahabat dalam platform yang mudah diakses kapanpun dan dimanapun serta menyediakan 3 pilar besar perjalanan cinta sejati (prewedding, wedding, post wedding)",,,,,
47,Media Partner,E-commerce,-,Orderplizz,Kami adalah jaringan agen yang memberdayakan dan meningkatkan penghidupan jutaan pengecer tradisional dengan teknologi untuk Indonesia yang maju dan sejahtera,,,,,
48,Media Partner,E-commerce,-,SociaBuzz,"SociaBuzz adalah platform di mana siapa pun dapat memonetisasi passion mereka, mulai dari kreator, influencer, pekerja lepas, hingga talenta kreatif.",,,,,
49,Media Partner,E-commerce,-,Civilarch.id,"wadah (marketplace) untuk transaksi proyek bangunan ( menawarkan proyek dan mencari proyek), antara klien (pemberi kerja) dan freelancer (pekerja/tenaga ahli) dan transaksi jual beli produk bangunan antara penjual (penjual produk) dan pembeli (pembeli produk)",,,,,
50,Media Partner,E-commerce,-,Lexipage Messenger,"Lexipage Messenger adalah Platform Obrolan untuk Komunikasi Sosial, Realtime, dan Melakukan Operasi Bisnis yang terhubung ke banyak ekosistem Layanan Bisnis",,,,,
51,Media Partner,E-commerce,-,Ecopia ID,"Ecopia ID (PT Teman Sehat Sejahtera) adalah platform marketplace yang menawarkan pilihan makanan sehat yang dipersonalisasi. Dengan kuis interaktif kami, pengguna bisa mendapatkan rekomendasi produk berdasarkan selera, anggaran, dan tujuan kesehatan, sekaligus secara otomatis membuat rencana makan yang, disediakan, diperiksa, dan disetujui oleh ahli diet berlisensi kami. Sumber pendapatan kami adalah melalui penjualan langsung layanan dan paket makan, dengan langganan premium untuk pengguna yang ditargetkan yang membutuhkan pelatihan dan bimbingan tambahan dari ahli gizi dan ahli diet kami.",,,,,
52,Media Partner,E-commerce,-,Venopi,Pasar untuk vendor acara,,,,,
53,Media Partner,Education,-,3D Expert.id,3D Expert.id - Platform kelas desain rekayasa 3D berbasis website yang memberikan kemudahan bagi calon desainer untuk menimba ilmu rekayasa desain dimana saja dan kapan saja,,,,,
54,Media Partner,Education,-,Bintang Kecil,"Bintang Kecil adalah sebuah aplikasi yang membantu orang tua dari 89 juta anak-anak dari kelompok pendapatan menengah ke bawah untuk mendapatkan edutainment terbaik bagi anak-anak mereka yang diperlukan untuk menumbuhkan karakter yang baik dan mulia sebagai pemimpin masa depan bangsa ini, dengan menyediakan lebih dari 750 lagu dan budaya positif dongeng, kelas seni online, dan aktivitas interaktif seperti karaoke, pembuat konten video, mewarnai, dan masih banyak lagi dalam komunitas yang aman dan sehat untuk berkreasi, berekspresi, dan berprestasi di masa mudanya. Bintang Kecil memenuhi kebutuhan pendidikan non formal bagi anak untuk mengembangkan potensi maksimalnya dalam masyarakat yang aman dan sehat.",,,,,
55,Media Partner,Education,-,Educourse,Educourse menyediakan platform pembelajaran campuran untuk model pembelajaran Bahasa dan STEM yang didukung oleh teknologi AI dan AR.,,,,,
56,Media Partner,Education,-,Lingotalk,"LingoTalk adalah platform yang menyediakan layanan pembelajaran bahasa terstandar. Pendekatan pembelajaran yang berpusat pada siswa merupakan bagian integral dari operasi bisnis. Dengan memahami bahwa setiap orang belajar secara berbeda, LingoTalk memperkenalkan pendekatan yang dipersonalisasi dalam memberikan pembelajaran bahasa yang efisien dengan dukungan teknologi.",,,,,
57,Media Partner,Education,-,School Of Parenting,School of Parenting adalah platform pendidikan untuk orang tua Milenial,,,,,
58,Media Partner,Education,-,Ahlee,Ahlee adalah utusan sosial di mana para ahli dapat membangun profil profesional untuk memonetisasi saran singkat mereka dan pengguna bisa mendapatkan akses dan saran pribadi.,,,,,
59,Media Partner,Education,-,Analitica,"Analitica merupakan platform tryout online terbaik yang dirancang khusus untuk persiapan seleksi masuk CPNS dan PPPK 2021, UTBK SBMPTN 2022, seleksi Kedinasan 2021, dan olimpiade. Fitur: TO Daily & Akbar (dikerjakan secara serentak) TO Mandiri (dikerjakan secara personal) Support Website, Android, iOS Support IRT Scoring Support Partnership Event Analitica Automation Management System Analitica Content Management System Mendukung Keanggotaan Multimode UI/UX yang Mulus",,,,,
60,Media Partner,Education,-,aroom.id,Kursus Online Bahasa Indonesia untuk Kreatif,,,,,
61,Media Partner,Education,-,Baby Bee,"Baby Bee adalah platform pendidikan anak usia dini (0-6 tahun) yang menggabungkan Studio Animasi, Taman Wisata, Merchandising, Aplikasi Game Interaktif Edukatif dalam satu platform",,,,,
62,Media Partner,Education,-,Bimbelku,"Bimbelku merupakan media yang menghubungkan siswa sebagai tutor dengan siswa sekolah yang memerlukan pendampingan belajar. Bimbelku memiliki keunggulan diantaranya adanya capacity building yang bermanfaat untuk meningkatkan kapasitas tutor dalam mendampingi siswa belajar serta pembekalan dalam melakukan sharing section. Adanya sharing section dimana tutor tidak hanya menjadi pendamping belajar tetapi juga menjadi teman yang membantu untuk meningkatkan semangat belajar serta menjadi teman curhat siswa yang mengikuti bimbingan belajar di Bimbelku. Serta Bimbelku memiliki konsep komunikasi tiga arah dimana Bimbelku, Orang tua/siswa dan Tutor dapat saling berkomunikasi melalui program trial tutor, harmonisasi evaluasi, kritik dan masukan serta berbagi kemajuan pembelajaran di Bimbelku.",,,,,
63,Media Partner,Education,-,Cekkeuanganku.com,Cekkeuanganku adalah aplikasi pengelolaan keuangan keluarga yang memiliki visi membantu masyarakat Indonesia mencapai kesejahteraan melalui stabilitas keuangan.,,,,,
64,Media Partner,Education,-,Coding First,Coding First adalah lembaga belajar coding yang dikhususkan untuk peserta usia 5-18 tahun dengan metode yang disesuaikan bakat dan minat sehingga para peserta dapat menjalani pembelajaran coding yang menyenangkan namun tetap serius dalam pembelajaran.,,,,,
65,Media Partner,Education,-,CyberArmy Academy,CyberAcademy merupakan platform pembelajaran keamanan siber online khususnya bagi pelajar dengan metode self-paced learning dan live session.,,,,,
66,Media Partner,Education,-,eGrad,eGrad sedang mengembangkan situs web dan aplikasi yang membantu mahasiswa teknik menemukan karir impian mereka dengan menawarkan wawancara kerja dan rekomendasi pelatihan online untuk meningkatkan kompetensi mereka.,,,,,
67,Media Partner,Education,-,Girls Kode,Menghubungkan dan Memberdayakan Perempuan Melalui Digital & Teknologi,,,,,
68,Media Partner,Education,-,Global Millennial Group (GMG),"Global Millennial Group (GM Group) adalah perusahaan start-up internasional yang berkomitmen untuk meningkatkan kualitas pendidikan melalui penerapan program dan platform pendidikan informal tambahan untuk pertumbuhan generasi muda di seluruh dunia. Memulai perjalanan pada tanggal 1 September 2020 dan mendapat pengakuan hukum melalui Keputusan Menteri Hukum dan Hak Asasi Manusia Republik Indonesia No. AHU-0025295.AH.01.01. Kami berdiri atas nama sah PT. Grup Milenial Global. Global Millennial Group didirikan karena sistem pendidikan formalnya pada hard skill seperti matematika, fisika, dll. Sementara itu, soft skill seperti public speaking, berpikir kritis, negosiasi dan lain-lain kurang berkembang dengan baik. Dengan impian memperbaiki sistem pendidikan agar lebih terbuka dalam mengembangkan soft skill melalui pendidikan informal, Global Millennial Group meyakini bahwa kita harus mengubah paradigma tersebut untuk meningkatkan kualitas pendidikan dan mendobrak sistem pendidikan lama. Untuk dapat mencapai tujuan GM Group dalam menginspirasi generasi muda untuk keluar dari zona nyamannya, mencari pengalaman baru dan menyampaikan pendapat serta mengembangkan soft skill berdasarkan minat, bakat dan passionnya, GM Group telah berhasil melaksanakan berbagai program pemberdayaan generasi muda, seperti Global Millennial MUN, MUN School, Wander Voice International English Speech Competition, Public Speaking School, Indonesia SDGs Summit dan Be Global Indonesia.",,,,,
69,Media Partner,Education,-,IDE (PT Infrastruktur Digital Edukasi),IDE Transformasi Pendidikan Indonesia (dengan memberikan akses pendidikan kepada semua orang dengan mentransformasi metode pendidikan tradisional ke ekosistem digital) dan Membangun Sinergi (dengan menjalin sinergi dengan semua pihak yang berpotensi berperan dalam mentransformasikan pendidikan Indonesia menuju 4.0),,,,,
70,Media Partner,Education,-,Mamaguru Co-Teaching Network,Kami memasangkan guru dengan orang tua anak di bawah 7 tahun dan membimbing mereka bagaimana mengoptimalkan tumbuh kembang anak melalui bermain di rumah.,,,,,
71,Media Partner,Education,-,Pocket Nihongo,Pocket Nihongo adalah Duolingo dan Italki yang dipadukan dengan kurikulum Sekolah Bahasa Jepang,,,,,
72,Media Partner,Education,-,Rakamin Academy,"Platform pendidikan terkurasi yang menghubungkan talenta atau perusahaan yang ingin mentransformasikan kemampuan mereka di bidang digital dan teknologi, secara langsung dengan para ahli dari perusahaan dan institusi teknologi ternama untuk membantu mereka unggul dalam keterampilan mereka. Menyediakan kelas intensif dimana mereka dapat belajar langsung dari ahlinya dengan pembelajaran yang lebih menarik dan berdampak dibandingkan pembelajaran video on-demand",,,,,
73,Media Partner,Education,-,Studiin,Studiin adalah perusahaan pendidikan yang menyediakan layanan bimbingan belajar online yang dibeli berdasarkan kebutuhan dengan mahasiswa sebagai mitra tutor kami.,,,,,
74,Media Partner,Education,-,TALENT GROWTH,Talent Growth adalah situs web perekrutan berbasis pelatihan dan keterampilan yang membantu mitra perekrutan untuk mencari talenta yang sesuai dengan karir melalui pengalaman kerja virtual dan pada saat yang sama mendemokratisasi pembelajaran keterampilan karir untuk menutup kesenjangan keterampilan antara pencari kerja dan pemberi kerja. .,,,,,
75,Media Partner,Education,-,Universitas123,Startup Edtech yang mengubah cara pemasaran di Industri Pendidikan.,,,,,
76,Media Partner,Education,-,MONEV Studio,"MONEV STUDIO adalah pelopor start-up yang didirikan pada tahun 2018. Visi kami adalah untuk mempromosikan pembangunan berkelanjutan, literasi evaluasi, dan inklusi. Melalui platform interdisipliner, kami memfasilitasi pembelajaran dan peningkatan keterampilan dalam studi pembangunan, pemantauan dan evaluasi (M&E), dan manajemen kebijakan. Kami menerapkan kerangka internal kami untuk menilai kebutuhan kapasitas, kekuatan, dan kelemahan setiap intervensi pembangunan baik di tingkat individu maupun lembaga, mulai dari kebijakan/program/kegiatan/komponen/sistem, di tingkat nasional dan subnasional, menyesuaikan solusi dan rekomendasi dengan langkah-langkah yang terukur dan tindakan.",,,,,
77,Media Partner,Education,-,Psikku,"Psikku adalah layanan psikologis untuk kesejahteraan perusahaan dan karyawan. Psikku memberdayakan Keterampilan Sumber Daya Manusia dengan Penilaian berbasis AI dan Neuroscience. Di dunia di mana teknologi berkembang pesat, Psikku memutuskan untuk menerapkan program penilaian digital untuk organisasi pendidikan dan karyawan klien perusahaannya. Tujuan perusahaan kami adalah membantu sekolah, universitas, dan perusahaan mengidentifikasi kekuatan dan kelemahan siswa atau karyawan klien, dan memberi mereka peluang pelatihan dan pengembangan yang akan membantu mereka tumbuh dan sukses dalam karier mereka. Untuk melaksanakan program ini, Psikku menerapkan alat dan teknologi penilaian digital standar. Bersama-sama, kami mengembangkan program penilaian komprehensif dan kesehatan mental atau asisten karier yang akan mengukur keterampilan dan pengetahuan siswa atau karyawan organisasi di berbagai bidang, termasuk pemecahan masalah, pemikiran kritis, komunikasi, dan kolaborasi.",,,,,
78,Media Partner,Education,-,Idbookstore,E-Store dan Penerbitan Buku Digital menggunakan konten multimedia interaktif untuk mendukung transformasi buku digital dan telah diintegrasikan oleh marketplace untuk menjual buku di website,,,,,
79,Media Partner,Education,-,IBE Reality,"IBE Reality adalah perusahaan revolusi teknologi dengan tiga pilar ekosistemnya, mulai dari pelaksana, penyedia, dan pembelajaran teknologi",,,,,
80,Media Partner,Education,-,Mentor.inc,Mentor Inc adalah platform yang menyediakan hubungan mentoring yang dapat diakses dengan menghubungkan mentee dan mentor melalui pemberdayaan teknologi,,,,,
81,Media Partner,Education,-,Aksel,"Kami adalah ekosistem percepatan karir kaum muda. Kami membantu kaum muda untuk merencanakan, memulai, dan membangun kesuksesan karir mereka. Kami menyediakan layanan pembuat & ulasan CV freemium dan mentoring 1:1 sesuai permintaan. Kami memvalidasi kebutuhan persiapan karir dengan memiliki 7,5 ribu pengguna dalam waktu kurang dari 5 bulan, menghasilkan +75 juta Rp dari 1,5 ribu pengguna berbayar (~50 ribu/pengguna). Dalam 6 bulan ini, kami fokus untuk memulai model B2B dan meningkatkan pendapatan kami dengan mencocokkan talenta kami dengan perusahaan untuk suatu pekerjaan.",,,,,
82,Media Partner,Education,-,ArkaLearn,"Kami mengembangkan Pekerja Berketerampilan Berkualitas Baik (dikenal sebagai TKI/PMI) yang siap bekerja di Jepang (seperti Caregiver) dengan melatih kandidat yang telah disaring dengan Kemahiran Bahasa Jepang, Budaya Jepang, Cara Kerja Jepang dan jaminan kandidat bersertifikat dan kami membantu Perusahaan Jepang untuk merekrut talenta kerah biru yang tepat untuk memenuhi tujuan bisnis mereka.",,,,,
83,Media Partner,Education,-,Aktiv,"Aktiv adalah platform komunitas dan profesional tempat kami mengembangkan keahlian masyarakat melalui komunitas dan menghubungkan mereka dengan industri. Pengguna dapat menjelajahi dan bergabung dengan beragam komunitas, terlibat dalam aktivitas komunitas untuk mengembangkan keterampilan mereka dan mendapatkan evaluasi, membangun profil dan memvalidasi kompetensi Anda, dan mendapatkan kesempatan untuk direkrut di perusahaan terkemuka. Kami menyediakan SaaS bagi komunitas untuk dengan mudah mengelola dan merencanakan aktivitas komunitas melalui analisis otomatis. Gratis Kami memberi perusahaan cara inovatif dalam merekrut orang berdasarkan kompetensi dan pengalaman nyata mereka.",,,,,
